keyword,count
인생,12
영화,185
추천,57
감독,33
명작,34
외국,7
이번,7
재개봉,4
마음,13
경우,4
기준,4
정도,7
정리,4
다음,6
개봉,7
넷플릭스,10
줄거리,8
친구,4
사이,5
음악,4
남자,5
모습,4
포인트,10
이것,4
시절,6
그때,5
마지막,4
장면,6
동안,4
그녀,16
사람,22
때문,4
사건,4
내겐,4
시간,16
로맨스,13
무엇,4
부인,4
그것,4
사실,5
생각,12
만남,4
시작,8
관계,5
완벽,7
반지,8
시리즈,6
극장,5
기억,7
최고,4
코브,4
작업,4
자신,13
아이,5
이해,6
충격,4
아버지,4
사랑,22
아들,4
가족,5
하나,4
작품,15
일본,4
부모,4
감성,5
이미지,8
출처,6
일상,4
프로필,7
출연,6
사만다,5
행복,5
인간,5
소재,5
느낌,10
키스,4
헨리,5
여자,10
하루,5
블랙,4
최면,4
달시,4
클래식,4
호러,4
공포,13
장르,6
이용,6
가능,6
채널,4
개인,4
소개,4
내용,4
미국,5
시골,4
미오,5
뭔가,6
이야기,7
결말,12
해석,5
평점,9
배우,4
노트북,4
이거,4
대박,4
코미디,4
걸까,4
일기,4
아빠,5
스토리,6
초월,4
전형,4
나비효과,4
우주,15
네이버,5
리호,4
